Side,Route,Outer_window_m,Winner,LOOCV_RMSE_G,LOOCV_RMSE_P,LOOCV_RMSE_E,Runner_up,Winner_margin_pct
North,Field K,6,E,12.219932248176235,14.85903761569434,6.874925585862267,G,77.74639296904601
North,Field K,7,E,13.57689618657046,19.455374708972354,4.629536189764177,G,193.26687663850086
North,Field K,8,G,12.822716348264011,15.06078781071879,20.384241130019316,P,17.453957505328244
North,Field K,9,G,11.574333033062832,14.07751229653105,13.283176037884779,E,14.764073229451117
North,Field K,10,G,11.206114468050423,14.926583371441964,11.779976529731929,E,5.120972691450149
North,Field K,12,P,12.983572892822627,12.505314713840988,14.00847444725447,G,3.82443936778575
North,Field K,14,P,15.093004271130809,10.863253946272273,15.701478037715635,G,38.93631084919979
North,Fine LF,6,G,0.6072407039238611,0.8069132823290008,0.7994869220322549,E,31.65898084007534
North,Fine LF,7,G,0.5172673384671549,0.8909376367793979,0.7512192805736049,E,45.228438895781025
North,Fine LF,8,P,0.8499643905980807,0.6630452099258397,0.8499643905980807,G,28.191015917775434
North,Fine LF,9,P,0.7385874750996914,0.586411583041342,0.7385874750996914,G,25.950355767038282
North,Fine LF,10,G,0.6591244138039536,0.6690350125150113,0.6591244138039536,E,0.0
North,Fine LF,12,P,0.948987916565782,0.7283978903299335,0.948987916565782,G,30.28427582841165
North,Fine LF,14,P,1.115611269768749,0.6985783936685624,1.115611269768749,G,59.697362512194445
North,Fine HF,6,G,0.533998222005775,0.7652384351775654,0.7806899895963968,P,43.30355488885685
North,Fine HF,7,G,0.47364142753601723,0.9006474551335184,0.7386372743497114,E,55.948620920314866
North,Fine HF,8,P,0.7604054475487935,0.6565993134957062,1.177575573373473,G,15.80966228862286
North,Fine HF,9,P,0.6385699371167048,0.5700169327437796,0.9402908729150051,G,12.026485606830127
North,Fine HF,10,G,0.5800638318465232,0.6456437728192804,0.8044354833074955,P,11.305642133210737
North,Fine HF,12,P,0.848211078321977,0.6732320739960024,0.848211078321977,G,25.99088948442073
North,Fine HF,14,P,1.0605081847973485,0.6587719297344611,1.0605081847973485,G,60.98260064371898
North,Coarse LF,6,G,0.7828183885025788,1.0623316195705776,1.0269357955488025,E,31.18442420766149
North,Coarse LF,7,E,1.2573424212573179,1.799405297305609,1.0377270492189066,G,21.163115310882088
North,Coarse LF,8,P,2.0348589722994803,1.652113361088196,2.7060246955796705,G,23.167030799822456
North,Coarse LF,9,P,1.731293801482019,1.680805239642497,2.1678640688547945,G,3.003831773529018
North,Coarse LF,10,G,1.5672411331876799,1.8466198050065772,1.8227683460175284,E,16.304269165659314
North,Coarse LF,12,G,1.4210423757322825,1.7698756655712615,1.933153405872782,P,24.547704966167558
North,Coarse LF,14,G,1.4071878535641622,1.4647769883865775,1.464951922226271,P,4.092498004196957
North,Coarse HF,6,G,0.7256568821731405,0.982064612384503,0.9745365752883609,E,34.2971587852781
North,Coarse HF,7,E,1.2725225543752703,1.7700271150642086,1.1110613278090142,G,14.532161504050695
North,Coarse HF,8,P,2.0029793522372232,1.6339713370379716,2.6641805690679865,G,22.583506015973423
North,Coarse HF,9,P,1.6734236840244248,1.6169242303035918,2.0303139170003206,G,3.4942548736637282
North,Coarse HF,10,G,1.5221989586226234,1.7772389504042407,1.7699464791969286,E,16.275633298191316
North,Coarse HF,12,G,1.3795190934211619,1.7040901920594045,1.8572995255107827,P,23.52784388314025
North,Coarse HF,14,G,1.3603901955769373,1.4245598376567525,1.4191102881714652,E,4.316415450908547
South,Field K,6,G,7.005673903307079,14.005565199429531,7.425292979688204,E,5.9897032344460275
South,Field K,7,G,7.80279750764428,10.388666192000898,10.09025727303014,E,29.315892962041765
South,Field K,8,G,6.587382108379311,7.954676411662914,6.80747587404744,E,3.341141625717515
South,Field K,9,P,9.592345919615985,6.826182895472208,9.592345919615985,G,40.52283782168461
South,Field K,10,P,9.463703336232202,7.434811375777657,9.463703336232202,G,27.289084522905323
South,Field K,12,P,11.249278611993,7.385646789392498,11.249278611993,G,52.312707780035915
