Side,Route,Deleted_distance_m,Full_record_winner,Jackknife_winner,Matches_full_record,Winner_margin_pct,LOOCV_RMSE_G,LOOCV_RMSE_P,LOOCV_RMSE_E
North,Field K,1.0,P,P,True,58.02591414718745,16.242885578424225,10.278621494507151,16.29652897882407
North,Field K,2.0,P,P,True,33.99761266520152,15.75623731935752,11.7585955495529,16.48311301381431
North,Field K,3.0,P,P,True,36.433351813206,15.73211686557363,11.530990521374003,16.434213892715462
North,Field K,4.0,P,P,True,46.955013603969384,14.834622324123076,10.094669082948784,15.2041038662362
North,Field K,5.0,P,P,True,41.42251097077098,15.721620620617722,11.116773781415214,16.300034566010442
North,Field K,6.0,P,P,True,43.557735268082375,15.606589452100788,10.871298173488704,16.285045284845474
North,Field K,7.0,P,P,True,42.360813722835786,14.226948532031011,9.993584723201746,14.914577081565291
North,Field K,8.0,P,P,True,53.37595995723688,16.080101066355017,10.484107855519436,16.736874232282986
North,Field K,9.0,P,P,True,28.51434027766092,15.072928361251666,11.728596457551692,15.695567293069935
North,Field K,10.0,P,P,True,25.733263086106238,13.385379633158507,10.645854012387925,13.979314616257309
North,Field K,12.0,P,P,True,42.23090769799416,17.732666982116346,12.46752008344697,20.63442813109603
North,Field K,14.0,P,P,True,3.82443936778575,12.983572892822627,12.505314713840988,14.00847444725447
North,Fine LF,1.0,P,P,True,67.43558640450007,0.8904602958141987,0.5318226041045874,0.8904602958141987
North,Fine LF,2.0,P,P,True,74.33237963710091,1.21904266447798,0.6992634799201392,1.21904266447798
North,Fine LF,3.0,P,P,True,60.18169196625206,1.1987997659948968,0.7483999895864918,1.1987997659948968
North,Fine LF,4.0,P,P,True,60.10653108774873,1.1865472644179382,0.7410986025096213,1.1865472644179382
North,Fine LF,5.0,P,P,True,61.3569620189415,1.1717563445895702,0.726188898159857,1.1717563445895702
North,Fine LF,6.0,P,P,True,44.56362523973062,1.1349005452974115,0.7850526323031813,1.1349005452974115
North,Fine LF,7.0,P,P,True,68.91213680728971,1.0556043140289977,0.6249428454234327,1.0556043140289977
North,Fine LF,8.0,P,P,True,89.08367824379161,1.184941770139111,0.6266758617903169,1.184941770139111
North,Fine LF,9.0,P,P,True,45.05067034253306,1.1558463309939706,0.7968569385198098,1.1558463309939706
North,Fine LF,10.0,P,P,True,88.2650062569521,1.1071883088290595,0.588100959834204,1.1071883088290595
North,Fine LF,12.0,P,P,True,79.98358669625817,1.3109966484356914,0.7283978903299335,1.3109966484356914
North,Fine LF,14.0,P,P,True,30.28427582841165,0.948987916565782,0.7283978903299335,0.948987916565782
North,Fine HF,1.0,P,P,True,91.1108353053256,0.9097717678149062,0.4760440538922986,0.9097717678149062
