Side,Route,Full_model,Dstar_m,Full_winner_margin_pct
North,Field K,P,12.0,38.93631084919979
North,Fine LF,P,12.0,59.697362512194445
North,Fine HF,P,12.0,60.98260064371898
North,Coarse LF,G,10.0,4.092498004196957
North,Coarse HF,G,10.0,4.316415450908547
South,Field K,P,9.0,70.6249236854434
South,Fine LF,P,7.0,173.84858162730984
South,Fine HF,P,7.0,148.01604603555347
South,Coarse LF,P,8.0,94.08955302710105
South,Coarse HF,P,9.0,93.00913210049286
